Date,Product Name,Category,Opening Stock,Purchases,Sales,Returns,Stock Adjustments,Closing Stock,Revenue,Costs,Profit
06-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,7,0,4,5,3,11,3400,0,3400
07-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,0,11,5,4,9,9350,0,9350
08-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,9,93,53,7,-1,55,45050,32550,12500
09-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,55,0,3,6,-2,56,2550,0,2550
10-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,56,0,42,0,0,14,35700,0,35700
11-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,14,0,12,2,1,5,10200,0,10200
12-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,0,0,0,5,0,0,0
13-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,0,7,-2,10,0,0,0
14-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,0,6,1,17,0,0,0
15-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,17,0,7,6,-5,11,5950,0,5950
16-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,0,6,4,3,12,5100,0,5100
17-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,0,12,5,3,8,10200,0,10200
18-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,8,0,0,4,-4,8,0,0,0
19-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,8,0,0,0,0,8,0,0,0
20-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,8,75,34,1,-2,48,28900,26250,2650
21-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,48,0,29,4,1,24,24650,0,24650
22-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,24,0,23,3,4,8,19550,0,19550
23-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,8,0,8,5,-3,2,6800,0,6800
24-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,2,0,1,7,-3,5,850,0,850
25-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,5,2,4,6,4250,0,4250
26-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,0,0,0,0,6,0,0,0
27-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,0,4,7,-1,8,3400,0,3400
28-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,8,0,0,0,0,8,0,0,0
29-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,8,0,2,9,-4,11,1700,0,1700
30-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,0,5,8,-3,11,4250,0,4250
31-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,89,95,7,-1,11,80750,31150,49600
01-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,0,1,4,2,16,850,0,850
02-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,16,0,0,0,0,16,0,0,0
03-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,16,0,10,3,3,12,8500,0,8500
04-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,0,11,2,2,5,9350,0,9350
05-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,0,0,0,5,0,0,0
06-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,1,1,-1,4,850,0,850
07-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,0,0,2,4,10,0,0,0
08-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,0,0,0,10,0,0,0
09-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,0,0,0,10,0,0,0
10-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,6,3,-5,2,5100,0,5100
11-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,2,0,1,4,-2,3,850,0,850
12-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,3,73,10,9,0,75,8500,25550,-17050
13-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,75,0,72,1,1,5,61200,0,61200
14-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,1,2,2,8,850,0,850
15-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,8,0,6,5,-4,3,5100,0,5100
16-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,3,0,0,0,0,3,0,0,0
17-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,3,0,2,2,-5,0,1700,0,1700
18-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,0,0,6,1,7,0,0,0
19-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,7,0,5,4,-3,3,4250,0,4250
20-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,3,0,2,7,-3,5,1700,0,1700
21-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,0,0,0,5,0,0,0
22-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,53,5,3,3,59,4250,18550,-14300
23-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,59,0,0,0,0,59,0,0,0
24-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,59,0,50,9,-4,14,42500,0,42500
25-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,14,0,9,0,2,7,7650,0,7650
26-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,7,0,0,1,2,10,0,0,0
27-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,0,0,0,10,0,0,0
28-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,0,8,-5,13,0,0,0
29-02-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,13,0,13,3,-5,0,11050,0,11050
01-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,0,0,0,0,0,0,0,0
02-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,0,0,2,2,4,0,0,0
03-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,92,5,7,4,102,4250,32200,-27950
04-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,102,0,0,0,0,102,0,0,0
05-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,102,0,34,8,4,80,28900,0,28900
06-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,80,0,32,0,-4,44,27200,0,27200
07-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,44,0,8,0,1,37,6800,0,6800
08-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,37,0,0,0,0,37,0,0,0
09-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,37,0,8,2,-3,28,6800,0,6800
10-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,28,0,28,9,3,12,23800,0,23800
11-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,0,8,5,2,11,6800,0,6800
12-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,0,0,0,0,11,0,0,0
13-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,67,18,2,-4,58,15300,23450,-8150
14-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,58,0,19,7,4,50,16150,0,16150
15-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,50,0,0,0,0,50,0,0,0
16-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,50,0,44,6,-5,7,37400,0,37400
17-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,7,0,4,4,1,8,3400,0,3400
18-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,8,0,5,8,-5,6,4250,0,4250
19-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,0,0,9,-4,11,0,0,0
20-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,0,6,0,-1,4,5100,0,5100
21-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,51,4,4,3,58,3400,17850,-14450
22-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,58,0,0,0,0,58,0,0,0
23-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,58,0,0,0,0,58,0,0,0
24-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,58,0,14,9,0,53,11900,0,11900
25-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,53,0,48,2,-3,4,40800,0,40800
26-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,0,0,0,0,4,0,0,0
27-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,0,4,2,3,5,3400,0,3400
28-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,23,5,7,-5,25,4250,8050,-3800
29-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,25,0,0,0,0,25,0,0,0
30-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,25,0,11,1,-3,12,9350,0,9350
31-03-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,0,9,4,2,9,7650,0,7650
01-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,9,0,5,5,-5,4,4250,0,4250
02-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,0,2,6,3,11,1700,0,1700
03-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,0,8,6,3,12,6800,0,6800
04-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,95,88,5,-1,23,74800,33250,41550
05-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,23,0,0,0,0,23,0,0,0
06-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,23,0,11,0,0,12,9350,0,9350
07-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,0,4,7,2,17,3400,0,3400
08-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,17,0,5,4,-4,12,4250,0,4250
09-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,0,8,9,2,15,6800,0,6800
10-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,15,0,0,0,0,15,0,0,0
11-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,15,0,0,0,0,15,0,0,0
12-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,15,0,0,0,0,15,0,0,0
13-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,15,0,0,0,0,15,0,0,0
14-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,15,0,8,1,-2,6,6800,0,6800
15-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,68,59,5,3,23,50150,23800,26350
16-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,23,0,14,4,3,16,11900,0,11900
17-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,16,0,3,8,2,23,2550,0,2550
18-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,23,0,10,2,-5,10,8500,0,8500
19-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,0,0,0,10,0,0,0
20-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,5,7,4,16,4250,0,4250
21-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,16,0,12,1,-3,2,10200,0,10200
22-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,2,0,0,2,-4,0,0,0,0
23-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,0,0,3,-3,0,0,0,0
24-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,0,0,9,-3,6,0,0,0
25-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,68,65,7,-4,12,55250,23800,31450
26-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,0,0,0,0,12,0,0,0
27-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,0,1,0,-2,9,850,0,850
28-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,9,0,7,3,1,6,5950,0,5950
29-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,0,2,7,0,11,1700,0,1700
30-04-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,0,2,3,1,13,1700,0,1700
01-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,13,0,0,0,0,13,0,0,0
02-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,13,0,13,1,-2,0,11050,0,11050
03-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,0,0,0,0,0,0,0,0
04-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,0,0,2,1,3,0,0,0
05-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,3,32,7,8,0,36,5950,11200,-5250
06-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,36,0,4,8,3,43,3400,0,3400
07-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,43,0,24,7,-4,22,20400,0,20400
08-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,22,0,12,4,4,18,10200,0,10200
09-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,18,0,12,1,-2,5,10200,0,10200
10-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,0,0,0,5,0,0,0
11-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,2,5,-2,6,1700,0,1700
12-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,0,5,5,-2,4,4250,0,4250
13-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,0,0,2,3,9,0,0,0
14-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,9,47,25,6,-1,36,21250,16450,4800
15-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,36,0,35,9,-5,5,29750,0,29750
16-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,4,5,0,6,3400,0,3400
17-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,0,0,0,0,6,0,0,0
18-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,0,2,4,-3,5,1700,0,1700
19-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,1,6,1,11,850,0,850
20-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,0,0,6,-5,12,0,0,0
21-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,0,1,0,1,12,850,0,850
22-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,0,11,6,3,10,9350,0,9350
23-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,6,8,3,15,5100,0,5100
24-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,15,0,0,0,0,15,0,0,0
25-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,15,0,12,5,4,12,10200,0,10200
26-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,88,35,9,-1,73,29750,30800,-1050
27-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,73,0,23,3,3,56,19550,0,19550
28-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,56,0,0,0,0,56,0,0,0
29-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,56,0,37,6,-4,21,31450,0,31450
30-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,21,0,14,4,0,11,11900,0,11900
31-05-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,0,0,0,0,11,0,0,0
01-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,0,1,5,4,19,850,0,850
02-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,19,0,1,0,1,19,850,0,850
03-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,19,0,18,3,-1,3,15300,0,15300
04-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,3,0,0,0,0,3,0,0,0
05-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,3,82,18,5,-5,67,15300,28700,-13400
06-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,67,0,9,9,4,71,7650,0,7650
07-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,71,0,0,0,0,71,0,0,0
08-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,71,0,21,0,-1,49,17850,0,17850
09-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,49,0,9,6,-2,44,7650,0,7650
10-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,44,0,18,7,2,35,15300,0,15300
11-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,35,0,29,3,4,13,24650,0,24650
12-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,13,0,12,4,-1,4,10200,0,10200
13-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,0,2,4,-2,4,1700,0,1700
14-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,0,0,0,0,4,0,0,0
15-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,88,66,9,4,39,56100,30800,25300
16-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,39,0,23,5,1,22,19550,0,19550
17-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,22,0,0,0,0,22,0,0,0
18-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,22,0,0,0,0,22,0,0,0
19-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,22,0,0,0,0,22,0,0,0
20-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,22,0,20,2,2,6,17000,0,17000
21-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,0,0,0,0,6,0,0,0
22-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,0,1,1,-2,4,850,0,850
23-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,32,5,8,-1,38,4250,11200,-6950
24-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,38,0,34,3,-5,2,28900,0,28900
25-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,2,0,2,7,-3,4,1700,0,1700
26-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,0,2,1,-1,2,1700,0,1700
27-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,2,0,1,0,2,3,850,0,850
28-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,3,0,0,0,0,3,0,0,0
29-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,3,0,3,4,2,6,2550,0,2550
30-06-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,0,5,3,-4,0,4250,0,4250
01-07-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,0,0,0,0,0,0,0,0
02-07-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,0,0,7,-1,6,0,0,0
03-07-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,0,3,7,-3,7,2550,0,2550
04-07-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,7,0,0,0,0,7,0,0,0
